ensembl_gene	uniprotkb
ENSG00000182156	Q6UWV6
ENSG00000176177	Q8IYW4
ENSG00000168032	O75355
ENSG00000188833	Q5MY95
ENSG00000120533	Q9NPA8
ENSG00000163378	Q5NDL2
ENSG00000163508	O95936
ENSG00000127527	Q9UBC2
ENSG00000181562	Q14507
ENSG00000181552	P56851
ENSG00000183495	Q96L91
ENSG00000116016	Q99814
ENSG00000120616	Q9H2F5
ENSG00000086289	Q9UM22
ENSG00000182585	Q6UW88
ENSG00000182580	P54753
ENSG00000172031	Q8IUS5
ENSG00000178567	Q7L775
ENSG00000063245	Q9Y6I3
ENSG00000072134	O95208
ENSG00000049283	Q9H201
ENSG00000138018	Q9C0D9
ENSG00000182150	Q5T890
ENSG00000132591	O75616
ENSG00000012061	P07992
ENSG00000163161	P19447
ENSG00000105438	P24390
ENSG00000100196	O43731
ENSG00000124882	O14944
ENSG00000120705	P62495
ENSG00000105722	P50548
ENSG00000104549	Q14534
ENSG00000149809	O76062
ENSG00000133935	Q9UKR5
ENSG00000113719	Q969X5
ENSG00000125991	Q9Y282
ENSG00000100632	P84090
ENSG00000104714	Q86X53
ENSG00000204334	A1L162
ENSG00000204978	A6NGS2
ENSG00000177459	Q6P6B1
ENSG00000107566	O75477
ENSG00000164010	Q96PL5
ENSG00000136541	Q8TAM6
ENSG00000099219	Q7Z2K6
ENSG00000197930	Q96HE7
ENSG00000139055	Q96DN0
ENSG00000089248	P30040
ENSG00000173153	P11474
ENSG00000119715	O95718
ENSG00000196482	P62508
ENSG00000116285	Q9UJM3
ENSG00000131037	Q8TE68
ENSG00000149564	Q96AP7
ENSG00000171320	Q56NI9
ENSG00000164283	Q9NQ30
ENSG00000144488	Q6ZVH7
ENSG00000140009	Q92731
ENSG00000104413	Q6NXG1
ENSG00000100056	Q96DF8
ENSG00000070366	Q86US8
ENSG00000198848	P23141
ENSG00000139684	P10768
ENSG00000171503	Q16134
ENSG00000205707	Q6IPR1
ENSG00000105755	O95571
ENSG00000253831	Q6ZN32
ENSG00000175832	P43268
ENSG00000139083	P41212
ENSG00000154642	Q9NYK6
ENSG00000115363	Q9H8M9
ENSG00000142694	Q9NVM1
ENSG00000128346	Q9BZE7
ENSG00000126860	P22794
ENSG00000185862	P34910
ENSG00000142459	Q96CN4
ENSG00000067208	O60447
ENSG00000196405	Q9UI08
ENSG00000174279	Q03828
ENSG00000179044	Q86VI1
ENSG00000283632	Q2M3D2
ENSG00000144036	Q9Y2D4
ENSG00000178997	Q8NHP7
ENSG00000090989	Q9NV70
ENSG00000180104	O60645
ENSG00000131558	Q96A65
ENSG00000070367	O00471
ENSG00000138190	Q8TAG9
ENSG00000182473	Q9UPT5
ENSG00000116903	Q8IYI6
ENSG00000171311	Q9Y3B2
ENSG00000130713	Q13868
ENSG00000107371	Q9NQT5
ENSG00000178896	Q9NPD3
ENSG00000077348	Q9NQT4
ENSG00000075914	Q15024
ENSG00000120699	Q96B26
ENSG00000158008	Q92935
ENSG00000012232	O43909
ENSG00000104313	Q99502
ENSG00000064655	O00167
ENSG00000108799	Q92800
ENSG00000106462	Q15910
ENSG00000187690	Q86X51
ENSG00000092820	P15311
ENSG00000168309	O95990
ENSG00000148690	Q70Z53
ENSG00000125898	Q9BQ89
ENSG00000169122	Q8TC76
ENSG00000189057	Q6SJ93
ENSG00000055147	Q9NRY5
ENSG00000138439	Q6P1L5
ENSG00000100376	Q9NWS6
ENSG00000197798	Q9BPY3
ENSG00000112584	Q96EK7
ENSG00000188938	Q5T036
ENSG00000150510	Q86V42
ENSG00000124019	Q9H5Z6
ENSG00000185519	Q96AQ9
ENSG00000179083	Q8N9E0
ENSG00000035141	Q96C01
ENSG00000170074	Q9UHL3
ENSG00000170264	Q3B820
ENSG00000156050	Q96MY7
ENSG00000143340	Q96GL9
ENSG00000196990	P0C2L3
ENSG00000154319	Q96KS9
ENSG00000054965	Q92567
ENSG00000152102	A1KXE4
ENSG00000198780	Q9Y6X4
ENSG00000165140	P09467
ENSG00000130957	O00757
ENSG00000148468	Q5VUB5
ENSG00000174132	Q8TBP5
ENSG00000151327	Q8N128
ENSG00000196666	Q6P0A1
ENSG00000111879	Q8NB25
ENSG00000222011	Q8N0U4
ENSG00000214447	A6NFU0
ENSG00000146067	Q96PV7
ENSG00000123575	Q6PEV8
ENSG00000221909	Q8TCP9
ENSG00000221886	Q8IZ13
ENSG00000165669	Q9H8W3
ENSG00000124103	Q5JX71
ENSG00000124098	Q96KR6
ENSG00000145975	Q8IXS0
ENSG00000196227	Q9NTX9
ENSG00000164970	Q8IW50
ENSG00000178761	Q5XKK7
ENSG00000178397	Q7Z4H9
ENSG00000188732	A4D161
ENSG00000204930	A6H8Z2
ENSG00000173065	Q8WU58
ENSG00000186453	Q86W67
ENSG00000203778	Q4G0N7
ENSG00000171224	Q96D05
ENSG00000158571	P16118
ENSG00000170525	Q16875
ENSG00000114268	Q16877
ENSG00000171847	Q86YD7
ENSG00000126218	P00742
ENSG00000148541	Q8NE31
ENSG00000179304	Q8NDB6
ENSG00000268350	Q8NDB6
ENSG00000213185	Q8N5W8
ENSG00000103089	Q7L5A8
ENSG00000185112	Q8N2R8
ENSG00000185448	Q5JRC9
ENSG00000189132	Q8NA70
ENSG00000145945	Q9Y247
ENSG00000189319	Q14153
ENSG00000120709	Q9NYF3
ENSG00000196550	Q5TYM5
ENSG00000188610	Q86X60
ENSG00000215784	Q6L9T8
ENSG00000077458	Q5HYJ3
ENSG00000157470	Q8TBF8
ENSG00000153347	Q96LP2
ENSG00000147689	Q86UY5
ENSG00000103876	P16930
ENSG00000121769	P05413
ENSG00000155749	Q96Q35
ENSG00000160688	Q8NFF5
ENSG00000168040	Q13158
ENSG00000134824	O95864
ENSG00000221968	Q9Y5Q0
ENSG00000185104	Q9UNN5
ENSG00000180185	Q6P587
ENSG00000158234	Q9NVQ4
ENSG00000169398	Q05397
ENSG00000136270	Q969Z0
ENSG00000215251	Q7L8L6
ENSG00000183844	P58499
ENSG00000196937	Q92520
ENSG00000183304	Q8IZU1
ENSG00000177138	Q8IZU0
ENSG00000187268	Q8IZT9
ENSG00000100557	Q9NVL8
ENSG00000198690	Q9Y2M0
ENSG00000183161	Q9NPI8
ENSG00000221829	O15287
ENSG00000136492	Q9BX63
ENSG00000115392	Q9NW38
ENSG00000187790	Q8IYD8
ENSG00000162585	Q6NZ36
ENSG00000152767	Q9Y4F1
ENSG00000164896	Q14296
ENSG00000169710	P49327
ENSG00000147378	Q969F0
ENSG00000130720	Q8N539
ENSG00000162458	Q8WUP2
ENSG00000077942	P23142
ENSG00000163520	P98095
ENSG00000115380	Q12805
ENSG00000172638	O95967
ENSG00000140092	Q9UBX5
ENSG00000166147	P35555
ENSG00000105202	P22087
ENSG00000166167	Q9Y297
ENSG00000214050	Q8IX29
ENSG00000269190	Q96EF6
ENSG00000167196	Q8NEZ5
ENSG00000147364	Q8TCJ0
ENSG00000161243	Q8NI29
ENSG00000143756	Q9NVF7
ENSG00000116661	Q9UK22
ENSG00000178974	Q9NWN3
ENSG00000177294	Q8N4B4
ENSG00000110429	Q9UK99
ENSG00000156509	Q4G163
ENSG00000132879	Q9H4M3
ENSG00000177051	Q6PJ61
ENSG00000204923	Q5FWF7
ENSG00000151876	Q9UKT5
ENSG00000188505	Q6ZVX7
ENSG00000112029	Q9UKT4
ENSG00000116663	Q9NRD1
ENSG00000112146	Q9UK97
ENSG00000153558	Q9UKC9
ENSG00000005812	Q9UKT7
ENSG00000118564	Q9UKA1
ENSG00000183580	Q9UJT9
ENSG00000135722	Q96CD0
ENSG00000119402	Q9UKT8
ENSG00000159069	Q969U6
ENSG00000179639	P12319
ENSG00000149534	Q01362
ENSG00000158869	P30273
ENSG00000119616	Q9Y324
ENSG00000143226	P12318
ENSG00000203747	P08637
ENSG00000150337	P12314
ENSG00000104870	P55899
ENSG00000130475	O14526
ENSG00000104522	Q13630
ENSG00000132704	Q96LA5
ENSG00000160856	Q96P31
ENSG00000163518	Q96PJ5
ENSG00000143297	Q96RD9
ENSG00000181036	Q6DN72
ENSG00000137478	O94868
ENSG00000157353	Q8N0W3
ENSG00000079459	P37268
ENSG00000181617	Q8NFU4
ENSG00000267673	Q6P4F2
ENSG00000255561	Q9BRP7
ENSG00000141965	Q9BSK4
ENSG00000145780	Q96JP0
ENSG00000146618	Q96RJ6
ENSG00000090512	Q9UGM5
ENSG00000171055	Q9UHY8
ENSG00000128610	A0PJY2
ENSG00000126262	O15552
ENSG00000185897	O14843
ENSG00000102302	P98174
ENSG00000146192	Q7Z6J4
ENSG00000139132	Q96M96
ENSG00000070193	O15520
ENSG00000161958	Q92914
ENSG00000114279	P61328
ENSG00000129682	Q92913
ENSG00000102466	Q92915
ENSG00000196468	O43320
ENSG00000158815	O60258
ENSG00000113578	P05230
ENSG00000105550	Q9NSA1
ENSG00000111241	P10767
ENSG00000137440	Q14512
ENSG00000137441	Q9BYJ0
ENSG00000111790	Q9NVK5
ENSG00000189283	P49789
ENSG00000132446	Q9BXU8
ENSG00000115641	Q14192
ENSG00000183386	Q13643
ENSG00000112214	Q5TD97
ENSG00000135723	Q9Y613
ENSG00000134389	Q9BXR6
ENSG00000171560	P02671
ENSG00000112367	Q92562
ENSG00000132436	Q6PIW4
ENSG00000183733	Q6QHK4
ENSG00000182263	Q5HY92
ENSG00000168386	Q4L180
ENSG00000167194	Q96LL3
ENSG00000000460	Q9NSG2
ENSG00000214253	Q9Y3D6
ENSG00000197296	Q8N6M3
ENSG00000106080	Q9NWM8
ENSG00000088832	P62942
ENSG00000119782	P68106
ENSG00000173486	P26885
ENSG00000004478	Q02790
ENSG00000096060	Q13451
ENSG00000077800	O75344
ENSG00000079150	Q9Y680
ENSG00000105701	Q14318
ENSG00000204315	Q9UIM3
ENSG00000146457	Q15007
ENSG00000196924	P21333
ENSG00000137312	O75955
ENSG00000132589	Q14254
ENSG00000160325	Q9UGQ2
ENSG00000090554	P49771
ENSG00000188100	B3EWG3
ENSG00000276430	B3EWG5
ENSG00000189090	B3EWG6
ENSG00000157827	Q96PY5
ENSG00000161791	Q8IVF7
ENSG00000010932	Q01740
ENSG00000007933	P31513
ENSG00000076258	P31512
ENSG00000102081	Q06787
ENSG00000125531	Q9BVV2
ENSG00000075420	Q53EP0
ENSG00000073598	Q8TC99
ENSG00000172568	Q8TBE3
ENSG00000168522	P49354
ENSG00000257365	P49356
ENSG00000169946	Q8WW38
ENSG00000086205	Q04609
ENSG00000110195	P15328
ENSG00000110203	P41439
ENSG00000125740	P53539
ENSG00000175592	P15407
ENSG00000075426	P15408
ENSG00000170345	P01100
ENSG00000176692	Q99958
ENSG00000186564	O60548
ENSG00000170122	Q12950
ENSG00000160973	O75593
ENSG00000168269	Q12951
ENSG00000129654	Q92949
ENSG00000065970	Q9P0K8
ENSG00000198815	Q9UPW0
ENSG00000109101	O15353
ENSG00000139445	Q96NZ1
ENSG00000128573	O15409
ENSG00000049768	Q9BZS1
ENSG00000176302	Q6PIV2
ENSG00000189299	Q6PJQ5
ENSG00000185504	Q0VG06
ENSG00000160752	P14324
ENSG00000171049	P25090
ENSG00000165060	Q16595
ENSG00000109536	Q14331
ENSG00000167996	P02794
ENSG00000087086	P02792
ENSG00000111816	P42685
ENSG00000153303	Q8N878
ENSG00000172159	A2A2Y4
ENSG00000139926	Q96NE9
ENSG00000165694	Q6ZUT3
ENSG00000126391	Q9BZ67
ENSG00000166225	Q8WU20
ENSG00000137218	O43559
ENSG00000075539	O94915
ENSG00000143633	Q8NDD1
ENSG00000186628	A1L4K1
ENSG00000042286	Q9BRQ8
ENSG00000163430	Q12841
ENSG00000134363	P19883
ENSG00000160282	O95954
ENSG00000140718	Q9C0B1
ENSG00000162613	Q96AE4
ENSG00000107164	Q96I24
ENSG00000001036	Q9BTY2
ENSG00000179163	P04066
ENSG00000091483	P07954
ENSG00000165775	Q9BWH2
ENSG00000171124	P21217
ENSG00000180549	Q11130
ENSG00000033170	Q9BYC5
ENSG00000172461	Q9Y231
ENSG00000010361	Q9BT04
ENSG00000059122	Q4VC44
ENSG00000184492	Q9NU39
ENSG00000187559	Q6VB84
ENSG00000184659	Q8WXT5
ENSG00000273514	Q3SYB3
ENSG00000170271	Q96IV6
ENSG00000127452	Q9NXK8
ENSG00000171823	Q8N1E6
ENSG00000099364	Q6PCT2
ENSG00000108306	Q96IG2
ENSG00000197361	Q6P050
ENSG00000114416	P51114
ENSG00000129245	P51116
ENSG00000089356	Q14802
ENSG00000137726	Q9H0Q3
ENSG00000221946	P58549
ENSG00000010810	P06241
ENSG00000111432	Q9ULW2
ENSG00000163251	Q13467
ENSG00000155760	O75084
ENSG00000123689	P27469
ENSG00000077585	O60478
ENSG00000170075	O60883
ENSG00000145907	Q13283
ENSG00000138757	Q9UN86
ENSG00000105679	O14556
ENSG00000175229	Q96A11
ENSG00000179271	Q8TAE8
ENSG00000185340	Q99501
ENSG00000270765	Q8NHY3
ENSG00000139354	Q86XJ1
ENSG00000116717	P24522
ENSG00000099860	O75293
ENSG00000130222	O95257
ENSG00000033327	Q9UQC2
ENSG00000104064	Q06547
ENSG00000143458	Q8TAK5
ENSG00000154727	Q06546
ENSG00000215274	A6NGK3
ENSG00000274274	Q4V321
ENSG00000189064	Q6NT46
ENSG00000205777	P0DTW1
ENSG00000069482	P22466
ENSG00000117308	Q14376
ENSG00000108479	P51570
ENSG00000197487	Q9UBC7
ENSG00000166573	P47211
ENSG00000143641	Q10471
ENSG00000130035	Q9NY28
ENSG00000213930	P07902
ENSG00000130005	Q14353
ENSG00000205085	Q6NXP2
ENSG00000135248	Q96KD3
ENSG00000162771	Q8IYT1
ENSG00000180043	Q8N5Q1
ENSG00000180219	Q8NEG0
ENSG00000141441	Q9H706
ENSG00000148935	O43903
ENSG00000007237	O60861
ENSG00000158301	Q96D09
ENSG00000198908	Q6PI77
ENSG00000184502	P01350
ENSG00000102145	P15976
ENSG00000179348	P23769
ENSG00000107485	P23771
ENSG00000130700	Q9BWX5
ENSG00000257218	O43716
ENSG00000078369	P62873
ENSG00000111664	P16520
ENSG00000107862	Q92538
ENSG00000242616	P50151
ENSG00000127920	P61952
ENSG00000172380	Q9UBI6
ENSG00000127588	Q9P2W3
ENSG00000127928	P63211
ENSG00000162188	P63215
ENSG00000168243	P50150
ENSG00000176533	O60262
ENSG00000213512	Q8N8V2
ENSG00000170296	O95166
ENSG00000187730	O14764
ENSG00000139112	Q9H0R8
ENSG00000034713	P60520
ENSG00000268089	Q9UN88
ENSG00000179562	Q96CN9
ENSG00000005436	P16383
ENSG00000131979	P30793
ENSG00000124827	O75603
ENSG00000137822	Q9UGJ1
ENSG00000275835	Q96RT8
ENSG00000174500	Q8N6F7
ENSG00000140905	P23434
ENSG00000145020	P48728
ENSG00000152402	P33402
ENSG00000104381	Q8TB36
ENSG00000006007	Q9NZC3
ENSG00000130513	Q99988
ENSG00000242173	Q99819
ENSG00000168621	P39905
ENSG00000138698	P52306
ENSG00000205835	A6NCL1
ENSG00000092208	O14893
ENSG00000179409	P57678
ENSG00000152147	Q8WXD5
ENSG00000142252	Q9H840
ENSG00000112312	O75496
ENSG00000164949	P55040
ENSG00000171723	Q9NQX3
ENSG00000182093	O00258
ENSG00000198356	O43681
ENSG00000239857	Q7L5D6
ENSG00000131095	P14136
ENSG00000145990	Q9NXC2
ENSG00000236362	P0CL80
ENSG00000215269	P0CL81
ENSG00000224659	A6NER3
ENSG00000174450	Q8N9W4
ENSG00000197978	A6NEM1
ENSG00000100083	Q9UJY5
ENSG00000103365	Q9UJY4
ENSG00000125447	Q9NZ52
ENSG00000134864	Q9BVM4
ENSG00000137563	Q92820
ENSG00000179168	Q86UU5
ENSG00000152904	O95749
ENSG00000167741	Q6P531
ENSG00000131067	Q9UJ14
ENSG00000100121	Q14390
ENSG00000146830	O75420
ENSG00000182902	Q9H1K4
ENSG00000165678	Q9H3K2
ENSG00000157017	Q9UBU3
ENSG00000101193	Q9NWU2
ENSG00000216490	P13284
ENSG00000213203	Q8WWP7
ENSG00000196329	Q96F15
ENSG00000133561	Q6P9H5
ENSG00000055211	Q9NU53
ENSG00000123159	O14908
ENSG00000137960	Q8TF65
ENSG00000179855	Q8TF64
ENSG00000159224	P09681
ENSG00000139436	Q14161
ENSG00000165113	Q5VSY0
ENSG00000169605	Q9NS71
ENSG00000183607	Q86XP6
ENSG00000149328	Q8IW92
ENSG00000159921	Q9Y223
ENSG00000168237	Q8IVS8
ENSG00000164329	Q6PIY7
ENSG00000111087	P08151
ENSG00000174332	Q8NBF1
ENSG00000126603	Q9BZE0
ENSG00000107249	Q8NEA6
ENSG00000174842	Q92990
ENSG00000063854	Q16775
ENSG00000112164	P43220
ENSG00000170180	P02724
ENSG00000250361	P06028
ENSG00000136732	P04921
ENSG00000145888	P23415
ENSG00000173221	P35754
ENSG00000023572	Q9NS18
ENSG00000108010	O76003
ENSG00000135423	Q9UI32
ENSG00000164574	Q86SR1
ENSG00000178234	Q8NCW6
ENSG00000131386	Q8N3T1
ENSG00000149124	Q6IB77
ENSG00000176974	P34896
ENSG00000163754	P46976
ENSG00000182199	P34897
ENSG00000140632	Q49A26
ENSG00000087338	Q96IK5
ENSG00000112699	O60547
ENSG00000101216	Q9UKD1
ENSG00000089639	Q9P107
ENSG00000144591	Q96IJ6
ENSG00000173540	Q9Y5P6
ENSG00000100522	Q96EK6
ENSG00000127955	P63096
ENSG00000114353	P04899
ENSG00000065135	P08754
ENSG00000160271	Q12967
ENSG00000130119	Q9NVN8
ENSG00000163938	Q9BVP2
ENSG00000115523	P22749
ENSG00000124713	Q14749
ENSG00000163281	Q8TDQ7
ENSG00000111846	Q8N0V5
ENSG00000117475	Q9H2G9
ENSG00000159289	Q9NYA3
ENSG00000155265	Q2TAP0
ENSG00000153684	P0DX52
ENSG00000249931	D6RF30
ENSG00000136935	Q92805
ENSG00000167110	Q08379
ENSG00000147533	Q7Z5G4
ENSG00000135052	Q8NBJ4
ENSG00000166734	Q6P4E1
ENSG00000170270	Q9BXV9
ENSG00000047932	Q9HD26
ENSG00000120370	Q5T7V8
ENSG00000114745	Q9BQQ3
ENSG00000115806	Q9H8Y8
ENSG00000108433	O14653
ENSG00000174567	Q6ZVE7
ENSG00000111711	Q9Y3E0
ENSG00000165370	Q96P66
ENSG00000125734	Q9NPR9
ENSG00000147262	Q8TDV5
ENSG00000173302	Q8TDV2
ENSG00000173250	Q8TDV0
ENSG00000175514	Q8TDT2
ENSG00000143147	Q8N6U8
ENSG00000250510	Q16538
ENSG00000169347	P55259
ENSG00000143167	Q99795
ENSG00000204438	O95872
ENSG00000119927	Q9HCL2
ENSG00000159592	Q9HC44
ENSG00000062194	Q86WP2
ENSG00000076716	O75487
ENSG00000170412	Q9NQ84
ENSG00000111291	Q9NZD1
ENSG00000167588	P21695
ENSG00000179600	Q86YW7
ENSG00000068394	Q92917
ENSG00000046653	Q13491
ENSG00000198522	Q9HCN4
ENSG00000142751	Q9H9Y4
ENSG00000111231	Q9UHW5
ENSG00000170128	O00155
ENSG00000126251	O15529
ENSG00000135973	Q9Y5Y3
ENSG00000156097	Q9BZJ8
ENSG00000132522	Q13227
ENSG00000160360	Q86YR5
ENSG00000121957	P81274
ENSG00000213654	Q9Y4H4
ENSG00000089916	Q9NWQ4
ENSG00000092978	Q9NW75
ENSG00000116157	Q96SL4
ENSG00000164294	Q8TED1
ENSG00000113088	P49863
ENSG00000075240	Q6IC98
ENSG00000197540	P51124
ENSG00000115271	P28676
ENSG00000068400	Q4V328
ENSG00000100351	O75791
ENSG00000189152	Q8TC17
ENSG00000154016	Q13588
ENSG00000106070	Q13322
ENSG00000115290	Q14449
ENSG00000177885	P62993
ENSG00000141738	Q14451
ENSG00000215203	A8MXD5
ENSG00000166923	O60565
ENSG00000083307	Q6ISB3
ENSG00000158055	Q8TE85
ENSG00000152578	P48058
ENSG00000182771	Q9ULK0
ENSG00000204175	O60269
ENSG00000155974	Q9Y3R0
ENSG00000175318	Q8IUY3
ENSG00000155324	Q96HH9
ENSG00000164082	Q14416
ENSG00000030582	P28799
ENSG00000163739	P09341
ENSG00000152689	Q8IV61
ENSG00000171777	Q8TDF6
ENSG00000109519	Q9HAV7
ENSG00000134443	P07492
ENSG00000169224	Q5JQS6
ENSG00000063515	O15499
ENSG00000167914	Q96QA5
ENSG00000104518	P57764
ENSG00000105928	O60443
ENSG00000131149	Q14687
ENSG00000169181	Q6UXU4
ENSG00000111305	Q2KHT4
ENSG00000023909	P48507
ENSG00000100983	P48637
ENSG00000244067	P09210
ENSG00000170899	O15217
ENSG00000182793	Q7RTV2
ENSG00000197448	Q9Y2Q3
ENSG00000213366	P28161
ENSG00000134202	P21266
ENSG00000168765	Q03013
ENSG00000134201	P46439
ENSG00000065621	Q9H4Y5
ENSG00000084207	P09211
ENSG00000169840	Q9H4S2
ENSG00000198756	Q8IYK4
ENSG00000167123	Q5T4B2
ENSG00000006704	Q9UHL9
ENSG00000174428	Q6EKJ0
ENSG00000263001	P78347
ENSG00000100226	O00178
ENSG00000172432	Q9BX10
ENSG00000130299	Q969Y2
ENSG00000107937	Q9BZE4
ENSG00000163607	Q8N3Z3
ENSG00000059804	P11169
ENSG00000142583	P22732
ENSG00000160326	Q9UGQ3
ENSG00000124196	Q9H1H1
ENSG00000048545	P43080
ENSG00000112599	Q9UMX6
ENSG00000138472	O95843
ENSG00000197273	Q02747
ENSG00000044012	Q16661
ENSG00000138867	Q96NT3
ENSG00000104812	P13807
ENSG00000187166	Q75WM6
ENSG00000277075	P04908
ENSG00000278463	P04908
ENSG00000181218	Q7L7L0
ENSG00000277858	P0C5Z0
ENSG00000277745	P0C5Z0
ENSG00000099284	Q9P0M6
ENSG00000113648	O75367
ENSG00000276410	P33778
ENSG00000180596	P62807
ENSG00000277224	P62807
ENSG00000278588	P62807
ENSG00000273802	P62807
ENSG00000274290	P62807
ENSG00000275713	Q93079
ENSG00000124635	P06899
ENSG00000185130	Q99880
ENSG00000233822	Q99877
ENSG00000274641	P23527
ENSG00000184678	Q16778
ENSG00000123569	Q7Z2G1
ENSG00000168148	Q16695
ENSG00000197409	P68431
ENSG00000197153	P68431
ENSG00000278828	P68431
ENSG00000275714	P68431
ENSG00000273983	P68431
ENSG00000274750	P68431
ENSG00000275379	P68431
ENSG00000277775	P68431
ENSG00000183598	Q71DI3
ENSG00000203811	Q71DI3
ENSG00000203852	Q71DI3
ENSG00000132475	P84243
ENSG00000163041	P84243
ENSG00000188375	Q6NXT2
ENSG00000275663	Q99525
ENSG00000274618	P62805
ENSG00000197238	P62805
ENSG00000197837	P62805
ENSG00000158406	P62805
ENSG00000278705	P62805
ENSG00000197061	P62805
ENSG00000270882	P62805
ENSG00000270276	P62805
ENSG00000273542	P62805
ENSG00000277157	P62805
ENSG00000276966	P62805
ENSG00000276180	P62805
ENSG00000278637	P62805
ENSG00000275126	P62805
ENSG00000136720	O60243
ENSG00000165996	B0YJ81
ENSG00000206527	Q6Y1H2
ENSG00000188921	Q5VWC8
ENSG00000085382	Q8IYU2
ENSG00000131373	Q9UJ83
ENSG00000168453	O43593
ENSG00000113196	O96004
ENSG00000164107	P61296
ENSG00000116882	Q9NYQ3
ENSG00000173805	P54257
ENSG00000182831	Q14CZ0
ENSG00000177602	Q8TF76
ENSG00000128708	O14929
ENSG00000152240	Q96CS2
ENSG00000137814	Q9NVX0
ENSG00000214367	Q68CZ6
ENSG00000213397	Q99871
ENSG00000131351	Q9BT25
ENSG00000135077	Q8TDQ0
ENSG00000169087	Q96EW2
ENSG00000086506	P09105
ENSG00000130656	P02008
ENSG00000188536	P69905
ENSG00000206172	P69905
ENSG00000244734	P68871
ENSG00000223609	P02042
ENSG00000213931	P02100
ENSG00000196565	P69892
ENSG00000206177	Q6B0K9
ENSG00000112339	Q9Y450
ENSG00000172534	P51610
ENSG00000101336	P08631
ENSG00000180353	P14317
ENSG00000126264	Q9UBK5
ENSG00000163517	Q96DB2
ENSG00000068024	P56524
ENSG00000108840	Q9UQL6
ENSG00000061273	Q8WUI4
ENSG00000111906	Q7Z4H3
ENSG00000130021	Q08623
ENSG00000119431	Q9BSH5
ENSG00000165259	Q7Z353
ENSG00000270379	A2RTY3
ENSG00000051620	Q9Y5Z4
ENSG00000126107	Q5T447
ENSG00000002746	Q76N89
ENSG00000119969	Q9NRZ9
ENSG00000187821	A6NFD8
ENSG00000158578	P22557
ENSG00000023330	P13196
ENSG00000256269	P08397
ENSG00000136929	Q9BXL5
ENSG00000114735	Q9Y5R4
ENSG00000171786	Q02575
ENSG00000177551	Q02577
ENSG00000162639	Q5T8I9
ENSG00000105707	P05981
ENSG00000122557	Q9BSE4
ENSG00000144485	Q96HZ4
ENSG00000179111	Q9BYE0
ENSG00000163666	Q9UBX0
ENSG00000049860	P07686
ENSG00000186834	O94992
ENSG00000168517	Q96MH2
ENSG00000164683	Q9Y5J3
ENSG00000135547	Q9UBP5
ENSG00000163909	Q9NQ87
ENSG00000019582	P04233
ENSG00000113924	Q93099
ENSG00000109758	Q04756
ENSG00000185359	O14964
ENSG00000010282	Q9HCP6
ENSG00000054392	Q5VTY9
ENSG00000152804	Q03014
ENSG00000114455	Q9UM44
ENSG00000169635	Q96JB3
ENSG00000167861	Q8IV36
ENSG00000214212	A8MVS5
ENSG00000166135	Q9NWT6
ENSG00000214511	A8MV81
ENSG00000175202	Q4VC39
ENSG00000149196	Q53FT3
ENSG00000172273	Q9BQA5
ENSG00000169567	P49773
ENSG00000130787	O75146
ENSG00000127946	O00291
ENSG00000163349	Q86Z02
ENSG00000182218	Q96JK4
ENSG00000149929	Q9BW71
ENSG00000205649	P15516
ENSG00000136630	Q14774
ENSG00000140382	Q9NP66
ENSG00000064961	Q9P0W2
ENSG00000147421	Q6NT76
ENSG00000189403	P09429
ENSG00000164104	P26583
ENSG00000029993	O15347
ENSG00000176256	Q8WW32
ENSG00000100281	Q9UGU5
ENSG00000180448	Q92619
ENSG00000072571	O75330
ENSG00000100292	P09601
ENSG00000103415	P30519
ENSG00000153029	Q95460
ENSG00000275410	P35680
ENSG00000164749	Q14541
ENSG00000179172	O60812
ENSG00000275774	B2RXH8
ENSG00000152795	O14979
ENSG00000169045	P31943
ENSG00000126945	P55795
ENSG00000105323	Q9BUJ2
ENSG00000143889	Q8WVV9
ENSG00000092199	P07910
ENSG00000169813	P52597
ENSG00000165119	P61978
ENSG00000099783	P52272
ENSG00000135316	O60506
ENSG00000125944	O43390
ENSG00000153187	Q00839
ENSG00000241935	Q86XE5
ENSG00000125826	Q9BYM8
ENSG00000152413	Q86YM7
ENSG00000103942	Q9NSB8
ENSG00000051128	Q9NSC5
ENSG00000134709	Q9UJC3
ENSG00000095066	Q96ED9
ENSG00000168172	Q86VS8
ENSG00000171476	Q9BPY8
ENSG00000143452	Q86X24
ENSG00000176635	Q8N7B1
ENSG00000133265	Q9NZL4
ENSG00000121905	P84074
ENSG00000115756	P37235
ENSG00000116983	Q9UM19
ENSG00000163106	O60760
ENSG00000132702	Q9GZV7
ENSG00000165704	P00492
ENSG00000211584	Q6P1K1
ENSG00000113905	P04196
ENSG00000125319	Q8N3J3
ENSG00000165868	O43301
ENSG00000132622	Q96MM6
ENSG00000204389	P0DMV8
ENSG00000204388	P0DMV9
ENSG00000204390	P34931
ENSG00000096384	P08238
ENSG00000230989	O75506
ENSG00000226742	C9JCN9
ENSG00000160207	O75031
ENSG00000025156	Q03933
ENSG00000102878	Q9ULV5
ENSG00000171116	Q9UBD0
ENSG00000268738	Q9UBD0
ENSG00000169953	Q96LI6
ENSG00000172468	Q96LI6
ENSG00000196684	Q96JZ2
ENSG00000155304	P48723
ENSG00000175646	P04553
ENSG00000126803	P54652
ENSG00000170606	P34932
ENSG00000173110	P17066
